Inputs,Sorted Dynamic Array,Sorted Linked List,Ratio
15000,1.06123,1.2327,1.16158
15100,1.07966,1.27221,1.17834
15200,1.08825,1.27336,1.17009
15300,1.09748,1.30084,1.1853
15400,1.10558,1.30055,1.17635
15500,1.11332,1.34909,1.21177
15600,1.12933,1.34289,1.1891
15700,1.14458,1.38767,1.21238
15800,1.16887,1.39031,1.18944
15900,1.18395,1.43504,1.21208
16000,1.1919,1.43031,1.20003
16100,1.24057,1.50168,1.21047
16200,1.19736,1.45031,1.21126
16300,1.215,1.50081,1.23524
16400,1.22547,1.4955,1.22035
16500,1.25984,1.50398,1.19378
16600,1.28324,1.54636,1.20505
16700,1.28953,1.52843,1.18526
16800,1.31577,1.60504,1.21985
16900,1.34627,1.58784,1.17944
17000,1.3605,1.62853,1.19701
17100,1.38567,1.62288,1.17118
17200,1.38284,1.65899,1.1997
17300,1.40696,1.6568,1.17757
17400,1.43562,1.71889,1.19732
17500,1.4419,1.6937,1.17463
17600,1.47325,1.77014,1.20151
17700,1.48694,1.75678,1.18147
17800,1.5117,1.79472,1.18722
17900,1.52073,1.78175,1.17164
18000,1.55632,1.84753,1.18711
18100,1.58246,1.85146,1.16999
18200,1.59846,1.90207,1.18994
18300,1.60681,1.90761,1.1872
18400,1.6337,1.96135,1.20056
18500,1.66225,1.98016,1.19125
18600,1.66212,1.99204,1.1985
18700,1.69922,1.97276,1.16098
18800,1.72186,2.0471,1.18889
18900,1.73582,2.0321,1.17069
19000,1.742,2.0996,1.20528
19100,1.76519,2.06628,1.17057
19200,1.79866,2.14833,1.19441
19300,1.81122,2.11955,1.17023
19400,1.84305,2.20688,1.19741
19500,1.85306,2.19195,1.18288
19600,1.8871,2.24387,1.18906
19700,1.89614,2.2172,1.16933
19800,1.93213,2.30981,1.19547
19900,1.9735,2.30702,1.169
20000,1.98189,2.40587,1.21393
20100,2.01562,2.38335,1.18244
20200,2.03664,2.46575,1.21069
20300,2.05435,2.41273,1.17445
20400,2.06815,2.47458,1.19652
20500,2.06704,2.46632,1.19316
20600,2.09918,2.55628,1.21775
20700,2.13259,2.52715,1.18501
20800,2.1424,2.5935,1.21055
20900,2.15643,2.56962,1.19161
21000,2.17543,2.63416,1.21087
21100,2.20363,2.60534,1.18229
21200,2.22891,2.70692,1.21446
21300,2.24966,2.68707,1.19443
21400,2.29549,2.80128,1.22034
21500,2.30675,2.8119,1.21899
21600,2.33035,2.86159,1.22797
21700,2.35178,2.85297,1.21311
21800,2.35961,2.90165,1.22971
21900,2.3821,2.88383,1.21063
22000,2.39991,2.94722,1.22805
22100,2.43449,2.91491,1.19734
22200,2.47593,3.0875,1.247
22300,2.47872,2.99383,1.20782
22400,2.59496,3.20404,1.23472
22500,2.65578,3.23427,1.21782
22600,2.67762,3.36887,1.25816
22700,2.70602,3.33093,1.23093
22800,2.7297,3.38937,1.24166
22900,2.75293,3.38978,1.23134
23000,2.69242,3.37609,1.25392
23100,2.69297,3.31848,1.23228
23200,2.76189,3.46512,1.25462
23300,2.70466,3.33688,1.23375
23400,2.75261,3.44491,1.25151
23500,2.73609,3.38813,1.23831
23600,2.75943,3.49777,1.26757
23700,2.7812,3.44597,1.23902
23800,2.87139,3.69104,1.28545
23900,2.81176,3.48133,1.23813
24000,2.88564,3.63404,1.25935
